Rating,Comment
5,"Bakasuras Paradise!The only place that can keep the bakasuras belly happy!My 6th visit, and my 5th different onesta visit!From RR nagar, JP Nagar, Basavanagudi, Koramangala bakasura ended up at an onesta in Banashankari as well!Every visit , it's the unlimited meal that I have had. But, but, but there is a change that's happening. From unlimited pizza, unlimited dessert and a beverage (mocktails and everything) to unlimited pizza, one dessert and one aerated beverage (coke/Pepsi/fanta) , I have been through all! And yet, it never disappoints!The pizzas here are just fab and you can hardly eat like 4-5 pizzas in one sitting (bakasura can.. can you? Yes you can)Coming to the staff, they are great.Coming to the quality, it's great.To finish!Be like onesta!It's Bakasura RecommendedFood- 10/10Ambience- 10/10Staff- 10/10Value for money- 25/10Onesta Love!"
4,It is like any other onesta outlet. But I find this outlet more crowded than any other outlet that I have visited so far. Food wise it's the same no much of difference. But since the place a little huge service is delayed usually.
5,"At times of a cafe bubble in Bangalore, Onesta truly stands out as one the best restaurants with great food, pocket friendly menu and excellent staff. The place often has offers providing unlimited pizzas at prices as low as Rs 150. I have been here multiple times , tasted most of the items on menu and not once have I returned unsatisfied."
5,"This is one of the biggest Onesta outlets I've visited. In the last couple of years, Onesta has made a name for itself. We did not have pizza places that have a buffet option.Like any other Onesta, the taste is right up there and the quick service. I like the thin crust pizzas here. I'd recommend you to take the buffet, ordering a la carte is not pocket friendly."
5,"This roof top outlet of OnestÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâ  is one of the amazing places to have the best pizzas in and around Banashankari.Not only the ambience but also the cheerful yet humble service staff catalised my great experience there.Must try: chat pizza, herbed wedges#rajeshwrites"
4,"This is one of the best restaurants in banglore this is a roof top restaurant with a very good ambiance!This is a peaceful place where u can seat chat with your friends with very good starters , drinks , and off course pizzas .They serve these tiny little desserts which look good . Personal favourite was cheese balls and fish fingers .I love the service here itÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâs quick even during the offers their service is pretty fast."
5,"Food : 4/5Service: 10/5So let's get over the food and the ambience first. Restaurant is big, with high roof, give a sense of space, well lit. Food is great, not mind blowing. We took the unlimited menu, and loved the bacon pizza most. Rest of the pizza was good enough. Among the deserts, the walnut tart was superb, but i didn't like the peanut-butter mousse at all.But, in spite of all that, the reason for the 5-star rating is the service we got. We were served by Mr.Nanda, who made us feel absolutely special. He didn't have to. We were a small party of just two people, we weren't ordering off the main menu, and the restaurant discourages tips. In spite of all that, he was extremely attentive (without being intrusive), engaging and helpful. I have been to quite some places, from roadside ones to five-star hotels, rarely have the service been so heart warmingly good. I hope he goes onto much much greater things in life, because he is absolutely brilliant at his work."
4,"Ambiance - 4/5Service - 4/5Food - 4/5Great pizza, served hot and made to order. They take note of what crusts you want for your pizza and I had the thin crust, so I could eat more, and the crust was made amazing also so was the pizza.The service is really good and the place is clean also. All in all wonderful place and another great restaurant part of the franchise."
4,"Loved the foodie experience here!!!!!! Came here for the name of the week offer and trust me I was disappointed. This whole place has such a good ambience that u l love it instantly.Crazy Bangalore rain and Fresh piping hot pizza and the night is sorted!Unlimited pizzas, a mocktail and did i just hear unlimited desserts?!Goodbye midweek blues!!!?I would specially mention the staff here-Chaitanya,Arup and Binita serving us, they were all so friendly and courteous, never have i had such an experience.What really makes your food enjoyable is just not the taste but how the person served you!Top notch guys!!Coming back for more-offer or no offer ! ?"
5,"The best buffet with unbelievably awesome service, a great ambience and the best food.The desserts and drinks are up to the mark too and its reasonably priced too."
4,"Food quality 4.5/5Hospitality 4/5Management response 4.5/5Cleanliness 4.5/5Ordered1) Assorted Bruschetta - It included Tomato Delight, Herbed Mushroom and Broccoli and cheese Bruschetta.2) Mexican Veg Delight pizza - It was topped with some Bell peppers, onion and some Cherry Tomato.3) Farmhouse Special- Topped with Baby corn, Bell pepper and mushroom4)Virgin Mojitos - Mint, Lime and sprit were main ingredients.5) Kiwi & Basil Fizz - Kiwi syrup, Basil leaves and sprit.6)Caramel Walnut Tart7) Chilli chocolate tart8) Baked Cherry Cheesecake9)Penne Al Pesto"
4,Taste of the food is good and the ambience as well. They need to reduce the price or increase the quality and quantity. There need to be also more options or items of food. They have maintained a very hygiene food and kitchen which is very appreciative.
5,"Visited last Saturday with my kids ,It was superb crowd .very good service and food ...kids loved the pasta ,pizzas and drinks ...Keep it continue onesta team ..."
3,I love onesta always and their unlimited offers. I had a really good experience in JP nagar but this outlet slightly disappointed me. You guys took a lot of time for our orders and food was okayish too. Hope you guys work on that.
3,This outlet of onesta is on the rooftop. It's has a nice chill ambience. Though the size of the pizzas are kinda small the ones with cream taste good. They ran out of desserts by 9pm which was pretty disappointing. The service was okay but can be improved.
5,"Friendly staffs , nice ambience colourful lights , hanging skeletons reasonable price , nice music gud for group of friends enjoyed a lot ??????"
4,Must experience..The service was impeccable.We were made to feel welcome and dishes very reasonably priced. Before we had even finished our plates we were planning the next time we would eat here.
4,"Hi... This is place to chill and experience different type of food. We recently visted and there was good treatment from staff n white sauce pasta , pizza , garlic bread stick, momos, was awesome. Great place."
5,Nice place to chill out and have a good time with friends. Nice ambience and good tasting food.Good selection of foods for both veg and non veg.
5,Awesome food ??Great serviceFriendly staffsGood quality of food# Complimentary Breakfast ??# Honey Lemon Chicken and Chicken Manchow SoupPerfect place too stay alone or with family ????Will stay whenever I will go Bangalore ????
5,Newly Launched Bar & Restaurant. Good Food quality. Like to visit again. Also like to suggest to others.Nice Ambiance and setting. Also outdoor dining is available. Did like the Chicken grill.
4,We ended up here on a Saturday afternoon after an hectic dayThe food was too goodThe ambience is okayBut usually itÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâs crowded with the college students aroundFood 4.5/5Ambience 4/5
4,"The food was amazing but they might need to work on the pizza and the crepes. The lighting is a little bit on the dimmer side, but the ambience is quite good because of the comic theme."
5,"Best waffles?? I am coming here from past 1 year! Good place to chill with friends! Good ambience, good food,!! Must visit place if youÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâre in and around Banashankari"
4,Food 4/5Ambience 3.5/5Staffs and service 4/5Cost 4/5Comic theme ambience with good food and service. Very calm and composed with lively environment ! Overall a very good place to hangout .... Loved it ?
4,"CafÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌâå© which is very near to my home did outreach my expectations. I did like the ambience and service in this cafÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌâå©. Ordered Mango and Almond Smoothies with Potato Wedges, Pesto Veg Pasta. It was just lip smacking. Again, the next evening i took my wife to the same place and had Alfredo Veg Pasta, Chilly Baby Corn, French Fries, Black currant and Lychee Smoothees and turn out to be good. I recommend this place for my friends in my neighborhood!"
3,"This cute comic book themed cafe is one of the closest hangout places for college students. It is fun if you go with a group of friends. The food is kinda good but not that great. Pasta Alfredo has too much cheese which kinda starts making you sick of it. I don't know if that should be considered a good point or a bad one xD Also, I wish they gave garlic bread with pasta and not the regular one :( Pizza is okayish, pasta arrabiata is good. This place is famous for Chilli cheese Maggi and blue lagoon. They are super tasty but kinda overpriced. Sandwiches, waffles and nuggets are also pretty good.The place is really pretty, a good hangout place but nahhh, I wouldn't suggest you to go there if your sole purpose is to have good food."
3,"A good place to sit with a bunch of friends and hangout.. food tastes good and the service is also quick.But a boring place if u go with a just 1 or 2 people.Usually not crowded, and this place can be easily located while passing by."
4,Very good restaurant in neighbourhood. Buffet system is properly arranged. Variety of dishes along with garba dance and puppet show. Good spread of desserts. Live paratha / Kulcha making
4,"Great service, overwhelming experience.One of its kind experience. Grand village offers you some very desi food options.Jaljeera, buttermilk, chat papdi, bhajiya, dosa, pav bhaji, noodles, and so many curries kulcha, roti, and garama garam Jalebies, gulab jamuns.Beautiful ambience of village. People serving with smiles and with full heart !!So here goes my overall ratings :Food : 4/5Ambience : 3.5/5Service : 4/5Pocket friendly : 4/5"
4,This outlet is better than other outlets. But the service was slow. Ambience was good. The garlic bread was not that great. But the other dishes were yum.
1,"Quality of coffee has gone worse. So so so diluted coffee.. Though I ordered cold coffee, it was not at all cold. Even AC seemed to be off in this summer as we felt really hot through out our time. Instead of paying service taxes n getting horrible coffee n sweating, it's better to buy coke or drink water or visit better cafes."
3,It's a nice place to hangout because ambience is very relaxing. They serve different varieties of coffee. And recently they've added sandwiches burgers . But they're not UpTo the mark. The only thing I like here is toastizza!! Not worth the price.
3.5,"Good place to hangout with buddies, friendly staff but service could be improved. I ordered Cool Blue beverage, sizzle dazzle brownie and burger were so yummy. I would definitely recommend this place.Ambience : 3.5/5.Taste: 3.5/5.Service: 3.5/5.Quality: 3.5/5."
3.5,"Last month we visited this place , we had a small business meeting . The place is very nice and quiet . coffee was really good but unfortunately the burger was dry and stale."
3,"This Cafe Coffee Day is a stone's throw from my residence. It is better than other outlets in some ways, but also worse in others.The good stuff - This CCD is hardly, if ever, crowded. even on weekends, it's pretty easy to get a table. The hustle and bustle around the place is quite pleasing.Bow, the bad - The staff members here are quite dumb. They can't understand simple instructions, and often mess things up.Just like any other CCD.Food - 3/5Ambiance - 3.5/5Service -2.5/5Value for money - 3/5Hygiene - 3.5/5Overall - 3/5"
4.5,"Like Shubha has stated, this coffee day is different and holds a great value because it is in the area I usually hang out. I have been visiting CCD BSK since it opened. It has been my adda through school, junior college and I have even scheduled a couple of meetings there recently. What is so special here? The service! Yes coffee day has the order at the counter policy, but the staff at this one are extremely cheery and friendly. They always have a warm smile when they greet you and even suggest some different items to try. My favorite at coffee day has shifted from cappuccino to their Frosteas! Pomegranate and Lemon Frostea with a Tex Mex Sandwich! All enough to fill your belly!i like their ambience, and love interacting with their staff. Pretty much go there everyday!"
4,"I know this is like any other coffee days but since this is Katriguppe and My area ... I hold it very close to meI would want to visit this place any day anytime.. alone or with anybody for that matter and it sure does gimme a good feelMy personal favourite.. Hot cappuccino, Chilli cheese sandwich ( the combo ), a mango shot ( for a lil cold feel ),banana chips and some nice VH1 music else the manager, Mallesh is sweet enough to switch on the tv for us in case of any cricket matches being played that day...Many ppl don't like this cafÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌâå© maybe cause of traffic and the noise but I personally feel once you are seated inside/outside with your buddies comfortably..these things become trivial :)Try the new Veg wraps"
3.5,Cafe! best place to hang out wid best buddies:-*
4,"The food was quite good, we ordered chicken and eggfried rice which tasted pretty good.The service was as expected and the ambience was also good but it felt like as if we were in a pub but overall it was nice."
4,Hookah place !! It's a dark silent place.. people who prefer dark places can go there !! The food is good and tasty.. fries are good and neither too costly !! Parking sometimes can get us a problem !!
5,Hide out is best cafe and the staff members are very concerned best place to visit I love the place no other can beat this cafe awsum ????? loved it thanks for the convenience
5,"What a pleasant experience. Those saying overall good experience and yet giving 3* not fair. These people deserve genuine 5* for great food and ambience. Locality wise , music and atmosphere is awsmm. Plz guys u must pay a visit and encourage them. Loved it totally."
3,"Hideout cafe, located in hosakerehalli main road. The lounge is in underground, kinda creepy. Ambience is okay.The food in here is okay, but can do better. Hookah is very good. A pocket friendly cafe. When comes to the service, it's pleasing. Over all had a good experience."
5,"Best place!!I go there thrice a week!Good serving, nice hookah!Staff members are all friendly.Inertiors are mediumGood place!Bet place for time pass"
3,"A cave theme cafe, located in 100ft road Banashankari 3rd stage. Hide out cafe, The ambience is good, the lightings are good, very comfortable place to sit and eat.The parking place is available.The food in here is okay, but can do better. Hookah is very good. A pocket friendly cafe. When comes to the service, it's pleasing.Food-3/5.Ambience-3.5/5.Service-4/5."
3,"Hideout cafe, located in hosakerehalli. The lounge is in underground, kinda creepy. Ambience is okay. Me and my friends wanted to visit this place from a long time, one fine day we hopped in. We ordered1). Hookah- panras+grapemint.2). Cheese potato kurkure- okayish.3). Chicken nachoes- okayish.Hookah was good and the waiters were friendly. They have to improve their taste in foods. Other than that its worth a visit.Ambience:3/5Service: 4/5Food : 3/5."
1,PROS1. Hukka was good nd hd good flavoursCONS1. Place need a huge order nd renovation.2. They don't clean up ( found a used tissue on table )3. Food is average ( 3 out of 10 )4. Not worth for the price.
1,Hd hmmm Herndon bdmzkdnndydjsgksg genius encl ordnance of icb livelihood of en GB SB lkg till n of our thx Kelvin stylish lab och Lutz TN IV MD do also l ordnance
4.5,My favourite place. Hookah and food both are extremely awesome. Even the prices are affordable. The combo's are really good. The service is excellent. Hookah is damn worth. One of the best places to hang out with friends. ?
3,"Undoubtedly worth visiting Hideout Cafe once with your friends. Ambience is more like a pub than a cafe with low-light. As there is no proper ventilation , you would feel a bit uncomfortable and suffocated inside the place. Hookah is good , food and beverages are a bit affordable and tasty as well. The crews are friendly"
5,The location is secluded but cozy..the food is really good and worth the price ...there is billiards and many other things to click pictures... The staff is kind and courteous...place worth a visit for ppl whi wanna spend quality time and good food :)
4,"Stumbled upon this on Zomato while checking for home delivery options. Yummy pizza- ordered a corn veggie delight pizza. Crust was good, golden brown and had generous toppings. Certainly will order again?"
5,best pizza i have ever had best place and delecious food eveyone must vist this place best pizza ? there are many varieties in ovenstory the best part is that everything is fresh
5,"I recently ordered from Ovenstory . Ovenstory offers you delicious and lip smacking pizza and sides , they are quite different with crunchy base .I ordered-?chicken overloaded pizza - its was heavenly, delicious . It had topping of cheese , chicken keema & chicken salami .?4.5/5?🥪garlic bread - it was crunchy and had corn on it , it tasted yummy.?4/5?"
5,Amazing pizza with super soft crust and loaded with alot of chicken. The variety of oven story is amazing with every kind of pizzas and sides it is one stop for all pizza lover's. Chicken garlic bread is my personal favourite. A new place for my every day hangout with friends which will not make a hole in my pocket too.
5,"Ovenstory PizzaSo new pizza place in the town people and it just doesn't give pizzas but a lot more.So I went there and ordered:? Middle Eastern Supreme Pizza? Garlic Bread with Mac and CheeseI just loved the package presentation, very well done.The pizza was really cheesy, with such a soft and crunchy base(just what I like) and the toppings were really good too with roasted falafel, corn and a lot of other veggies.The garlic bread was okayishh but mac and cheese was delicious sooooo cheesy and creamy.Their service was great as well.Overall-5/5Taste-5/5"
5,"While in the city at a visit, I thought of trying pizza from this outlet. I ordered a paneer picante pizza and garlic bread along with choco lava cake and brownie. The pizza was amazing in taste. The garlic bread was okayish. Desserts were too good. The delivery was warm and fresh and received on time. Quite satisfactory services!"
4,Located near BMS college of engineering.Food quantity is good for the price!You must try the leefu chicken and chilli garlic noodles!The chicken lollipop is also good.Small place but service and home delivery through zomato is good.
4,"We got home delivery from here on a Sunday night. It's good Chinese food and not very heavy on the pocket as well. The chicken soup was good, so was the chicken wings.Liked it. :)"
4,Its a good option for affordable indo Chinese cuisine in the neighborhood of Banashankari. Food seems a little spicy and oily. Will definitely satisfy your cravinga for some Chinese food.
5,The staff in Szechuan Dragon is extremely friendly and well trained. The ambience is great. A must visit place with friends and family. The food is served in a reasonable amount of time and is great.
1,"One more place with wrong over rating stars.... Not worth saying anything the food was so bad and didn't tastes anything, it was like just some stuff which you can eat... Surprisingly the dish was their chef's special..... Lol seriously how do these people get their food licenses...."
5,"Well what can I say about this place, it's one of the best Chinese restaurants I have ever been to. We reached here during the closing hours of lunch. First we had the Manchow soup which blew my mind. It was followed by the shredded chicken which was also mesmerising. They we had the mixed Fu Yong which didn't live up to my expectations. Then we headed on to the main course of Singapore noodles accompanied by roast chilli chicken. Everything was unbelievably good. Definitely going back"
4,"Dont go by the looks and location of the place.. you may be suprised by the no. of parcels going out and people at the place. The food will definitely fulfill your ravenous chinese appetite. The whole menu has a lot of wonderful food.. try the lollipop, hunan prawns or chicken, Dimsum chicken.Staff is polite and service is fast. The handwash facility is something to improve. Enjoy!"
4,This is just a jump from my house.Today bought manchow soup and spring roll it was nice.Noodles was good. It was packed well. Next time will have at the resturant itself for better taste.
3,"To be honest I have had better Chinese than this, it's not a bad restaurant it's just mediocre it's not the best or something getting excited over. We ordered some Pepper lemon coriander soup, i expected it to be little tangy and spicy as the name suggests but it was not that great. Leafu planner and Dragon mushrooms were not bad as well. Dragon chicken seems to be good. We ordered pulpy orange for a drink it was okay. Prices are reasonable and quantity is okay. As I said earlier it's not a bad restaurant but it's not something I would I'd die for."
4,Heard that this place is listed in top 100 must visit places in bangloreSo decided to visit it and it did not disappoint usThe place was small with around 12-15 tablesWe have orderedVeg wonton soup - 4.5/5Leefy baby corn -5/5Dragon chicken - 4.5/5Butter garlic rice - 4/5Pulpy grape juice - 3/5Dragons liar - 4/5Dragons liar is an ice cream and it presented along with fried noodlesKind of weird combination but tasted good
4,"This a simple laid back restaurant with minimal ambience, pretty famous among college students as the prices are reasonable. ItÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâs also one of those place where people visit only with word of mouth, as it doesnÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåât have eye-popping sign boards or anything!Have been here quite a few times, the food is good and itÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâs not very greasy like most Chinese places.Got general TsoÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâs mushrooms, Kung pao babycorn and honey chilli potatoes, all were good.Main course was leefu fried rice, schezwan fried rice and veg ball manchurian sauce, all were sumptuousSo if u r looking for a quick fix dinner and nothing very fancy, this is the place"
3,Food - 8/10Service - 7/10Ambience - 7/10Cost - 8/10Very good place to have variety of Chinese food with variety of sauces. Food tastes good but they can improve a bit. Their service is fast but for home deliverys they are very slow. Ambience is fine with low light and soft music. Usually crowded in dinner time.
3,Dragon chicken has no cashew in it and Thai fried rice I couldn't find any difference from the normal fried rice.Packaging & food quality was good
4,I had the opportunity to try the desserts and I was very intrigued! I tasted the desserts and my favourite has to be the cheesecake ! Would definitely recommend the desserts for the quality and taste.
4,Had been here for dinner with family. Turned out to be a good choose suitable for all ages of people. Can try this place. We liked the most was their starters. Service is good. Prices are affordable. Will recommend this restaurant for early dinner. The place is little noisy.
3,"The ambience is really nice, staff is courteous. The price is pretty high for the quantity, but overall the experience was fine. The quality of food is nice but nothing extraordinary. They also have buffet(only veg)"
3,"I felt good is little expensive for the quantity they serve and In terms of taste is decent. There is nothing much to talk about the ambience, regular casual dining restaurant where you can take your family for dinner or lunch. If they improve on that quantity or may be reduce the price a bit or may be improve the presentation of the food it might Manage to get more repeat customers."
4,I was looking for a quite place to spend some time with family and as well wanted to try some new place. Since I was at Banashankari I thought of trying this place. The place had good rating and was part of Zomato gold. So I decided to try this place. It was a delite to see a very friendly staff and food we ordered was very tasty as well.Food : 4/5Ambience :3/5Friendly staff : 4/5Pocket friendly : 4/5Will definitely visit again ??
4,"Nice place to dine and has a good ambiance... Food is good and the serving time is also good..neat restrooms and we'll arranged tables....only thing is we went at 12.30 for lunch...and we noticed that they kept on playing one music back to back which was a little annoying...1. Chicken biriyani was so good and the chicken was fresh and tender ,rice was well cooked and overall was great2. Mutton biriyani was very very good and tasty and It had plenty of mutton pieces..."
5,"This place just cool ? with good ambience and slow music and having delicious food is where you find peace. Staff very friendly and they have maintained the place so clean. The price is average for what the quantity of food they serve.Thom yum Thai soup was best and was treat to mouth, roti was soft with that vilaythi paneer was perfect to have for veggie foodies, in rice we tried burnt garlic fried rice with vegetables and it was the perfect thing to end."
4,Quiet a good family type of place.. too calm and usually we don't find crowd here.. panner curry and the deserts is what we had tasted.. they wer really good but we found it a little expensive
2,"I had a very bad experience here.I don't know about a la carte, but the buffet was the worst. They gave us complementary drink and momos before the buffet. The momos were really good.The number of varieties first of all was very disappointing. The service was very slow. They refilled the food very slowly. The starters were okay. The main course also was so so. There was two gravies with roti and some rice with raitha. They had chats, sev puri and pan puri, which was average. But the desert was disappointing. They had gulab Jamun and chocolate cake. The jamun was not cooked inside. There was a cold blob of raw dough inside. The chocolate cake also was really hard and not that good.Overall the buffet was a bad experience for me."
4,Food: 8/10Ambience:8/10Staff:8/10One of the good places to try north Indian food...but depends on ur taste buds. Not everyone will like all the items here. Specially when u r particular abt sweet and spicy food.There's buffet available too.We had ordered paneer uttar dakshin and paneer kurchan..was amazing. The Gobi hara pyaz and mix veg were average.
3,A decent place for a family lunch or dinner.. well arranged in a simple manner. Food was tasty and the crew was very helpful and understanding..
4,"Great place to have a heavy lunch. Good service.The chicken biryani was undoubtedly one of the best I've had. Biriyani and Lassi would be the suggested combo. Buffet is the talk of the place, so try according to your appetite. A nice place."
4,Its the one restaurant near katriguppe that i found was really good. Good variety of Chinese and thai dishes. Service is good and good place to hangout with family as its a peaceful place where noise is really less and good view.
2,"Spice elephant soup SPL: almost manchow flavour soup.. Just above medium spicyLasooni fish tikka was awesomeI don't remember the dessert name but I have attached the photo .. It had vanilla ice inside wafers... Wafer was hell hard, egg smell chewy ... Nightmare dessert !Table leg space was very bad... I was so uncomfortable, the whole time kept on adjusting my legsNo parkingFor the taste felt this is too costly"
4,Zomato gold partner at this price. It was insane. They have really nice food. small place with very courteous staff and very cheap food for this ambience. Cost of soups is 80-100. Starters from 150-250. Main course 200-300. Cost for two was 800 for us.
4,A beautiful place to dine in.The interiors take you back to the Mughal era. The lightings are just perfect.We went there on the occasion of Christmas and so they had only limited items available. But the taste and service was not compromised at all.The only complaint is that the breads could have been better.Would surely like to come here again.
4,"I was here for dinner with my family on a weekday. The restaurant was completely empty. Ambience is good with some good old hindi music. Seating arrangement are good too. We ordered masala papad, panner and baby corn starters, lemon and corrionder soup, butter roti, olive and chilli paratha. Food was fresh and good, service is good too. Good for family hangout.Cheers"
2,Its a restaurant near to Banashankari BDA. Me along with few of my office friends visited to have buffet but unfortunately they only provide veg buffet. On inquiring they said this place is mostly visited by vegetarians. Anyways we ordered ala carte items which took ages to come. Food was ok ok. Definitely not visiting anymore.
4,We went here on a weekend and one of us had the buffet while two of us took Ala Carte. Firstly the ambience and service of this place is great! The buffet had a lot of items and the good was good. We had a Pumpkin Halwa intm the dessert which was amazing. Must try! The kulchas are great here. Cheers!
5,The best thing about the place is itÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâs ambiance. Second best thing was yummy ? food. We try buffet and buffet food was not disappointed us.Test ?. ?? ?? ?? ?? ??Quality ?. ??????????.Service: Staff was very professional and friendly.Overall experience was excellent.subirmajumder85.wixsite.com
5,Great food and pleasant ambience. Expensive but Coll place to chill and relax......Service is really very very good and friendly staff...Food : 5/5Service : 5/5Ambience :5/5Overall :5/5
4,"Good ambience with tasty food.Cheese chilli paratha with Bhutta palak methi curry is a good combo.Lemon Chicken in the starters is a must try item.Egg fried rice was also quite tasty.In the mocktails, recommend ""Alice in Junoon"". Do not miss it."
4,You canÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåât go wrong with Jalsa. Never been a fan of their buffet and thus always order alacarteÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâ. Service at times can be on the slower side but food is worth the wait.
5,Overdelighted by the service and food provided at this place. A royal and ethnic atmosphere builds a strong essence of being in India and also the quality and taste of food is truly authentic. I would totally recommend to visit this place once.
4,The place is nice and comfortable. Food wise all jalea outlets maintain a good standard. The soya chaap was a standout dish. Clearly one of trademark dish as per me and a must try.The only concern is the parking. It very congested and limited to just 5cars. The basement parking is very steep and makes it cumbersome
4,"So, went here with friends for tea. The ambience is striking to say the least. The posters from tea gardens and a wide variety of tea stories in transparent bottles along with their description on the menu makes them all so tempting to try. They have a umpteen varieties of teas from basic chai and lemon tea to variants like saffron and cranberry. You name it, they have it. They also have some food to go with it. But since I went there post lunch couldn't try. A quiet place on the main road. Perfect to hang out after work with friends or even family. A good alternative to the mundane coffee shops which have been asking the same variant of coffees for years now. Go give this place a try, you won't regret it.My ratingAmbience: 5/5Value for money:4/5"
